	06:47 PM 08/06/2023
Dataset directory: ../../../xlsx_resources/for_trainings/Book5.xlsx
Scheduled Learning: True
Learning rate: 0.0002
Min learning rate 1e-06
Dropout: 0.1
Weight decay: 0.0001
Patience: 16
Number of running epochs: 4000
Validate after every 20th epoch
MSE Reduction: mean
Train-Validation-Test ratio: 0.65-0.2-0.15
Number of train - validation - test samples: 1428 - 439 - 332
Train batch size: 18
Validation batch size: 4
Max length token: 256
Model name: bert-base-uncased
Running log location: saved_logs/bert_based_uncased_run_logs/running_iteration_7.txt
Model location: saved_models/bert_based_uncased_models_iteration_7/
_______________________________________________________________________________________

Epoch [77/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [78/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [79/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [80/4000] Average validation Loss: 0.1460	Average RMSE: 0.0004	Average MAE: 0.3599	Learning rate: 1e-06
Epoch [81/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [82/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [83/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [84/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [85/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [86/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [87/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [88/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [89/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [90/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [91/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [92/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [93/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [94/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [95/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [96/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [97/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [98/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [99/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [100/4000] Average validation Loss: 0.1460	Average RMSE: 0.0004	Average MAE: 0.3599	Learning rate: 1e-06
Epoch [101/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [102/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [103/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [104/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [105/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [106/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [107/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [108/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3631	Learning rate: 1e-06
Epoch [109/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [110/4000] Average train Loss: 0.1491	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [111/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3629	Learning rate: 1e-06
Epoch [112/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [113/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [114/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [115/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [116/4000] Average train Loss: 0.1493	Average RMSE: 0.0004	Average MAE: 0.3632	Learning rate: 1e-06
Epoch [117/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [118/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [119/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
Epoch [120/4000] Average validation Loss: 0.1460	Average RMSE: 0.0004	Average MAE: 0.3599	Learning rate: 1e-06
Epoch [121/4000] Average train Loss: 0.1492	Average RMSE: 0.0004	Average MAE: 0.3630	Learning rate: 1e-06
